[Thu Oct 27 16:03:34.408726 2016] [authz_core:error] [pid 7596:tid 1136] [client 127.0.0.1:9199] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 16:03:34.409726 2016] [authz_core:error] [pid 7596:tid 1136] [client 127.0.0.1:9199] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 16:03:36.741902 2016] [authz_core:error] [pid 7596:tid 1136] [client 127.0.0.1:9199] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 16:03:36.742402 2016] [authz_core:error] [pid 7596:tid 1136] [client 127.0.0.1:9199] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 16:03:36.742903 2016] [authz_core:error] [pid 7596:tid 1128] [client 127.0.0.1:9200] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 16:03:36.746405 2016] [authz_core:error] [pid 7596:tid 1120] [client 127.0.0.1:9201] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 16:05:12.779280 2016] [authz_core:error] [pid 9232:tid 1136] [client 127.0.0.1:9273] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 16:05:12.780282 2016] [authz_core:error] [pid 9232:tid 1136] [client 127.0.0.1:9273] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 16:07:12.861729 2016] [authz_core:error] [pid 6720:tid 1136] [client 127.0.0.1:9318] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 16:07:12.862225 2016] [authz_core:error] [pid 6720:tid 1120] [client 127.0.0.1:9321] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 16:07:12.862731 2016] [authz_core:error] [pid 6720:tid 1136] [client 127.0.0.1:9318] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 16:07:12.863227 2016] [authz_core:error] [pid 6720:tid 1136] [client 127.0.0.1:9318] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 16:07:14.033220 2016] [authz_core:error] [pid 6720:tid 1136] [client 127.0.0.1:9318] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 16:07:14.033720 2016] [authz_core:error] [pid 6720:tid 1120] [client 127.0.0.1:9321] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 16:07:14.034220 2016] [authz_core:error] [pid 6720:tid 1136] [client 127.0.0.1:9318] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 16:07:14.034220 2016] [authz_core:error] [pid 6720:tid 1136] [client 127.0.0.1:9318] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 16:07:14.035221 2016] [authz_core:error] [pid 6720:tid 1136] [client 127.0.0.1:9318] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 16:07:14.035732 2016] [authz_core:error] [pid 6720:tid 1136] [client 127.0.0.1:9318] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 16:07:14.035732 2016] [authz_core:error] [pid 6720:tid 1120] [client 127.0.0.1:9321] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:49:06.064753 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11165] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:49:06.064753 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:11166] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:49:06.064753 2016] [authz_core:error] [pid 7900:tid 1120] [client 127.0.0.1:11168] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
